D H X Y Z date
     1902-01-01
     1902-01-02
     1902-01-03
     1902-01-04
     1902-01-05
     1902-01-06
     1902-01-07
     1902-01-08
     1902-01-09
     1902-01-10
     1902-01-11
     1902-01-12
     1902-01-13
     1902-01-14
     1902-01-15
     1902-01-16
     1902-01-17
     1902-01-18
     1902-01-19
     1902-01-20
     1902-01-21
     1902-01-22
     1902-01-23
     1902-01-24
     1902-01-25
     1902-01-26
     1902-01-27
     1902-01-28
     1902-01-29
     1902-01-30
     1902-01-31
     1902-02-01
     1902-02-02
     1902-02-03
     1902-02-04
     1902-02-05
     1902-02-06
     1902-02-07
     1902-02-08
     1902-02-09
     1902-02-10
     1902-02-11
     1902-02-12
     1902-02-13
     1902-02-14
     1902-02-15
     1902-02-16
     1902-02-17
     1902-02-18
     1902-02-19
     1902-02-20
     1902-02-21
     1902-02-22
     1902-02-23
     1902-02-24
     1902-02-25
     1902-02-26
     1902-02-27
     1902-02-28
     1902-03-01
  13431.008346041977 7882.026630794314 55769.0 1918-08-14
  13423.055448780058 7867.913536572193 55770.0 1918-08-15
  13345.807301675064 7851.349149449193 55779.0 1918-08-16
  13422.504301943973 7880.710834962512 55782.0 1918-08-17
  13426.466861196608 7879.886523623886 55782.0 1918-08-18
  13429.22874379648 7883.083111752054 55774.0 1918-08-19
  13428.36634791003 7882.576877285592 55772.0 1918-08-20
  13428.999428522364 7883.473748846129 55778.0 1918-08-21
  13434.632511378419 7885.729724268643 55782.0 1918-08-22
  13433.421129379636 7881.866641902588 55774.0 1918-08-23
  13426.990374190797 7884.92044927453 55766.0 1918-08-24
  13381.764012428523 7865.1685243021275 55752.0 1918-08-25
  13432.329365261521 7881.751317006456 55770.0 1918-08-26
  13395.394577188012 7879.4723885195535 55718.0 1918-08-27
  13427.274666201722 7882.461229741473 55747.0 1918-08-28
  13428.999428522364 7883.473748846129 55754.0 1918-08-29
  13429.741912577832 7880.233065179628 55755.0 1918-08-30
  13429.337829556998 7878.94570736652 55749.0 1918-08-31
